Tiempo,Flujo
2454953.871857158,401215.6
2454953.8725382797,401345.25
2454953.8732195017,401189.38
2454953.8739006235,401426.1
2454953.8745817454,401489.75
2454953.8752627675,401278.16
2454953.875943989,401345.5
2454953.8766251113,401380.94
2454953.877306333,401459.25
2454953.877987455,401411.2
2454953.878668577,401296.56
2454953.879349799,401307.53
2454953.8800309207,401296.6
2454953.8807119424,401212.66
2454953.8813930643,401190.8
2454953.882074286,401162.78
2454953.882755408,401430.97
2454953.88343653,401309.03
2454953.884117752,401332.53
2454953.8847988737,401249.1
2454953.8854799955,401387.0
2454953.8861612175,401317.88
2454953.8868422396,401391.56
2454953.8875233615,401370.25
2454953.888204583,401391.28
2454953.8888857053,401231.94
2454953.889566827,401157.34
2454953.890247949,401401.97
2454953.890929171,401257.88
2454953.8916102927,401180.53
2454953.8922913144,401409.97
2454953.8929725364,401382.88
2454953.893653658,401220.53
2454953.89433478,401323.03
2454953.895016002,401356.8
2454953.895697124,401379.47
2454953.896378346,401377.4
2454953.8970594676,401289.62
2454953.89774049,401296.12
2454953.8984216116,401374.06
2454953.8991028336,401243.75
2454953.8997839554,401290.03
2454953.9004651774,401301.28
2454953.901146299,401106.12
2454953.901827421,401089.4
2454953.902508643,401202.7
2454953.9031896647,401440.06
2454953.9038707865,401405.03
2454953.9045520085,401221.03
2454953.9052331303,401233.44
2454953.905914252,401295.16
2454953.906595474,401280.3
2454953.907276596,401390.28
2454953.907957718,401222.7
2454953.9086387395,401315.62
2454953.9093199614,401283.1
2454953.9100010833,401410.75
2454953.910682205,401311.1
2454953.911363427,401474.0
2454953.912044549,401290.66
2454953.912725671,401390.0
2454953.9134068927,401447.97
2454953.914087915,401354.72
2454953.9147690367,401526.1
2454953.9154502586,401290.25
2454953.9161313805,401188.44
2454953.9168125023,401391.03
2454953.917493624,401407.2
2454953.918174846,401344.56
2454953.918855968,401451.38
2454953.9195369896,401247.7
2454953.9202182116,401311.2
2454953.9208993334,401263.4
2454953.9215804553,401280.75
2454953.922261677,401311.97
2454953.922942799,401330.2
2454953.9236239213,401459.0
2454953.924305143,401447.4
2454953.924986165,401311.9
2454953.925667287,401365.72
2454953.926348509,401560.0
2454953.9270296306,401404.25
2454953.9277107525,401417.84
2454953.9283919744,401274.84
2454953.9290730963,401252.03
2454953.929754318,401412.56
2454953.93043534,401399.34
2454953.9311164618,401256.5
2454953.9317975836,401083.97
2454953.9324788055,401423.4
2454953.9331599274,401491.6
2454953.9338410497,401385.47
2454953.934522271,401453.62
2454953.935203393,401330.75
2454953.935884415,401505.75
2454953.9365656367,401390.44
2454953.937246759,401583.8
2454953.937927881,401225.0
2454953.9386091027,401341.38
